raw_row_number_1based,trade_id,quality_flag,warning_count,error_count,warning_codes,error_codes
97,192,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
98,194,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
99,197,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
100,198,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
101,201,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
102,202,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
103,206,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
104,207,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
105,208,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
106,210,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
107,212,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
108,215,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
109,216,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
110,220,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
111,219,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
112,223,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
113,224,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
114,226,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
115,230,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
116,229,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
117,236,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
118,235,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
119,234,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
120,238,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
121,240,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
122,242,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
123,244,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
124,248,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
125,247,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
126,250,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
127,253,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
128,254,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
