"Label","Entry time (UTC+1)","Symbol","Quantity","Volume","Type","Entry price","Broker commission","Swaps","Closing price","Closing time (UTC+1)","Net $","Pips","Gross $","Balance $","ID"
"LONDON_1B1S","02/12/2019 15:36:03.472","US30","0.60 Lots","0.60 Indices","Sell","28069.2","0.00","0.00","27946.3","02/12/2019 16:02:31.822","73.74","122.9","73.74","4 302.45","138"
"LONDON_1B1S","05/12/2019 15:41:02.458","US30","0.60 Lots","0.60 Indices","Sell","27651.6","0.00","0.00","27677.0","05/12/2019 21:55:00.115","-15.24","-25.4","-15.24","4 287.21","140"
"RRL","06/12/2019 19:55:00.544","US30","0.30 Lots","0.30 Indices","Buy","28015.0","0.00","0.00","28002.7","06/12/2019 21:55:00.115","-3.69","-12.3","-3.69","4 283.52","143"
"RRL","06/12/2019 20:00:01.435","US30","0.30 Lots","0.30 Indices","Buy","28009.5","0.00","0.00","28002.7","06/12/2019 21:55:00.115","-2.04","-6.8","-2.04","4 281.48","144"
"LONDON_1B1S","12/12/2019 17:29:58.573","US30","0.10 Lots","0.10 Indices","Buy","28089.5","0.00","0.00","28024.4","12/12/2019 17:55:02.134","-6.51","-65.1","-6.51","4 274.97","146"
"RRL","19/12/2019 19:05:01.097","US30","0.30 Lots","0.30 Indices","Buy","28327.1","0.00","0.00","28352.7","19/12/2019 21:55:00.115","7.68","25.6","7.68","4 282.65","149"
"RRL","19/12/2019 19:10:00.346","US30","0.30 Lots","0.30 Indices","Buy","28334.1","0.00","0.00","28352.7","19/12/2019 21:55:00.115","5.58","18.6","5.58","4 288.23","150"
"RRL","26/12/2019 19:20:03.594","US30","0.30 Lots","0.30 Indices","Buy","28574.7","0.00","0.00","28595.8","26/12/2019 21:55:00.115","6.33","21.1","6.33","4 294.56","153"
"RRL","26/12/2019 19:30:05.014","US30","0.30 Lots","0.30 Indices","Buy","28572.2","0.00","0.00","28595.8","26/12/2019 21:55:00.115","7.08","23.6","7.08","4 301.64","154"
"LONDON_1B1S","27/12/2019 15:37:24.445","US30","0.60 Lots","0.60 Indices","Sell","28670.3","0.00","0.00","28641.8","27/12/2019 21:55:00.115","17.10","28.5","17.10","4 318.74","156"
"LONDON_1B1S","31/12/2019 16:31:58.899","US30","0.70 Lots","0.70 Indices","Sell","28401.9","0.00","0.00","28463.6","31/12/2019 21:26:49.144","-43.19","-61.7","-43.19","4 275.55","158"
"LONDON_1B1S","02/01/2020 15:45:36.946","US30","0.60 Lots","0.60 Indices","Buy","28717.3","0.00","0.00","28655.7","02/01/2020 16:15:27.162","-36.96","-61.6","-36.96","4 238.59","160"
"LONDON_1B1S","03/01/2020 15:35:00.367","US30","0.60 Lots","0.60 Indices","Buy","28681.5","0.00","0.00","28619.4","03/01/2020 16:00:19.392","-37.26","-62.1","-37.26","4 201.33","162"
"RRL","03/01/2020 18:10:00.043","US30","0.30 Lots","0.30 Indices","Buy","28698.5","0.00","0.00","28636.3","03/01/2020 19:37:02.806","-18.66","-62.2","-18.66","4 164.19","166"
"RRL","03/01/2020 19:00:00.318","US30","0.30 Lots","0.30 Indices","Buy","28700.9","0.00","0.00","28639.3","03/01/2020 19:37:00.687","-18.48","-61.6","-18.48","4 182.85","165"
"LONDON_1B1S","06/01/2020 16:43:38.614","US30","0.60 Lots","0.60 Indices","Buy","28542.2","0.00","0.00","28665.1","06/01/2020 21:48:39.875","73.74","122.9","73.74","4 237.93","168"
"LONDON_1B1S","07/01/2020 15:38:34.274","US30","0.80 Lots","0.80 Indices","Sell","28628.6","0.00","0.00","28591.0","07/01/2020 21:55:00.115","30.08","37.6","30.08","4 268.01","170"
"LONDON_1B1S","09/01/2020 15:45:08.350","US30","0.80 Lots","0.80 Indices","Sell","28856.4","0.00","0.00","28918.4","09/01/2020 16:38:54.658","-49.60","-62","-49.60","4 218.41","172"
"RRL","09/01/2020 18:25:01.969","US30","0.30 Lots","0.30 Indices","Buy","28940.4","0.00","0.00","28949.5","09/01/2020 21:55:00.071","2.73","9.1","2.73","4 221.14","175"
"RRL","09/01/2020 18:30:01.322","US30","0.30 Lots","0.30 Indices","Buy","28932.4","0.00","0.00","28949.5","09/01/2020 21:55:00.071","5.13","17.1","5.13","4 226.27","176"
"LONDON_1B1S","14/01/2020 16:39:08.396","US30","0.60 Lots","0.60 Indices","Buy","28963.6","0.00","0.00","28902.0","14/01/2020 20:11:07.555","-36.96","-61.6","-36.96","4 170.83","180"
"RRL","14/01/2020 19:40:00.041","US30","0.30 Lots","0.30 Indices","Buy","29012.6","0.00","0.00","28951.0","14/01/2020 19:43:59.052","-18.48","-61.6","-18.48","4 207.79","179"
"LONDON_1B1S","16/01/2020 15:35:00.711","US30","0.60 Lots","0.60 Indices","Buy","29193.4","0.00","0.00","29285.2","16/01/2020 21:55:00.115","55.08","91.8","55.08","4 225.91","183"
"RRL","16/01/2020 20:05:02.230","US30","0.30 Lots","0.30 Indices","Buy","29205.9","0.00","0.00","29285.2","16/01/2020 21:55:00.115","23.79","79.3","23.79","4 249.70","184"
"LONDON_1B1S","17/01/2020 17:13:26.187","US30","0.80 Lots","0.80 Indices","Sell","29322.7","0.00","0.00","29340.6","17/01/2020 21:55:00.115","-14.32","-17.9","-14.32","4 235.38","186"
"LONDON_1B1S","21/01/2020 15:35:00.359","US30","0.60 Lots","0.60 Indices","Buy","29323.1","0.00","0.00","29261.0","21/01/2020 16:16:34.793","-37.26","-62.1","-37.26","4 198.12","188"
"RRL","21/01/2020 20:00:00.036","US30","0.30 Lots","0.30 Indices","Sell","29184.7","0.00","0.00","29175.2","21/01/2020 21:55:00.115","2.85","9.5","2.85","4 200.97","190"
"RRL","23/01/2020 20:05:00.686","US30","0.30 Lots","0.30 Indices","Buy","29132.4","0.00","0.00","29167.0","23/01/2020 21:55:00.115","10.38","34.6","10.38","4 211.35","192"
"LONDON_1B1S","24/01/2020 16:20:37.556","US30","0.80 Lots","0.80 Indices","Sell","29180.5","0.00","0.00","29057.3","24/01/2020 17:42:13.297","98.56","123.2","98.56","4 309.91","194"
"RRL","24/01/2020 19:50:01.439","US30","0.30 Lots","0.30 Indices","Sell","28919.3","0.00","0.00","28981.4","24/01/2020 20:58:07.016","-18.63","-62.1","-18.63","4 291.28","197"
"RRL","24/01/2020 19:55:00.437","US30","0.30 Lots","0.30 Indices","Sell","28932.8","0.00","0.00","28994.4","24/01/2020 21:00:00.897","-18.48","-61.6","-18.48","4 272.80","198"
"RRL","27/01/2020 18:25:00.348","US30","0.30 Lots","0.30 Indices","Buy","28644.6","0.00","0.00","28582.7","27/01/2020 20:51:25.693","-18.57","-61.9","-18.57","4 254.23","201"
"RRL","27/01/2020 18:30:00.361","US30","0.30 Lots","0.30 Indices","Buy","28644.1","0.00","0.00","28581.2","27/01/2020 20:51:25.894","-18.87","-62.9","-18.87","4 235.36","202"
"LONDON_1B1S","28/01/2020 16:37:30.353","US30","0.60 Lots","0.60 Indices","Buy","28723.9","0.00","0.00","28748.2","28/01/2020 21:55:00.115","14.58","24.3","14.58","4 249.94","206"
"RRL","28/01/2020 18:55:00.322","US30","0.30 Lots","0.30 Indices","Buy","28776.1","0.00","0.00","28748.2","28/01/2020 21:55:00.115","-8.37","-27.9","-8.37","4 241.57","207"
"RRL","28/01/2020 19:05:00.268","US30","0.30 Lots","0.30 Indices","Buy","28751.6","0.00","0.00","28748.2","28/01/2020 21:55:00.115","-1.02","-3.4","-1.02","4 240.55","208"
"LONDON_1B1S","30/01/2020 15:35:32.326","US30","0.60 Lots","0.60 Indices","Buy","28654.0","0.00","0.00","28592.4","30/01/2020 16:38:59.404","-36.96","-61.6","-36.96","4 203.59","210"
"LONDON_1B1S","31/01/2020 16:30:00.178","US30","0.80 Lots","0.80 Indices","Sell","28524.7","0.00","0.00","28399.8","31/01/2020 17:15:39.608","99.92","124.9","99.92","4 303.51","212"
"RRL","31/01/2020 19:45:00.341","US30","0.30 Lots","0.30 Indices","Sell","28264.7","0.00","0.00","28326.3","31/01/2020 20:00:13.142","-18.48","-61.6","-18.48","4 285.03","215"
"RRL","31/01/2020 19:50:00.727","US30","0.30 Lots","0.30 Indices","Sell","28286.2","0.00","0.00","28348.3","31/01/2020 20:03:07.061","-18.63","-62.1","-18.63","4 266.40","216"
"RRL","04/02/2020 17:55:00.132","US30","0.60 Lots","0.60 Indices","Buy","28858.5","0.00","0.00","28811.9","04/02/2020 21:55:00.115","-27.96","-46.6","-27.96","4 201.48","220"
"RRL","04/02/2020 18:05:00.410","US30","0.60 Lots","0.60 Indices","Buy","28886.5","0.00","0.00","28824.9","04/02/2020 21:46:27.837","-36.96","-61.6","-36.96","4 229.44","219"
"RRL","10/02/2020 17:55:00.515","US30","0.60 Lots","0.60 Indices","Buy","29169.6","0.00","0.00","29247.5","10/02/2020 21:55:00.115","46.74","77.9","46.74","4 248.22","223"
"RRL","10/02/2020 18:00:01.127","US30","0.60 Lots","0.60 Indices","Buy","29166.1","0.00","0.00","29247.5","10/02/2020 21:55:00.115","48.84","81.4","48.84","4 297.06","224"
"LONDON_1B1S","11/02/2020 17:38:55.405","US30","0.60 Lots","0.60 Indices","Sell","29269.3","0.00","0.00","29331.1","11/02/2020 19:02:48.391","-37.08","-61.8","-37.08","4 259.98","226"
"RRL","13/02/2020 17:50:00.691","US30","0.60 Lots","0.60 Indices","Buy","29458.8","0.00","0.00","29430.9","13/02/2020 21:55:00.115","-16.74","-27.9","-16.74","4 206.28","230"
"RRL","13/02/2020 18:30:00.057","US30","0.60 Lots","0.60 Indices","Buy","29497.8","0.00","0.00","29436.2","13/02/2020 19:15:26.341","-36.96","-61.6","-36.96","4 223.02","229"
"LONDON_1B1S","14/02/2020 17:08:34.355","US30","0.60 Lots","0.60 Indices","Sell","29398.7","0.00","0.00","29393.1","14/02/2020 21:55:00.115","3.36","5.6","3.36","4 110.68","236"
"RRL","14/02/2020 19:25:00.378","US30","0.80 Lots","0.80 Indices","Sell","29330.5","0.00","0.00","29392.6","14/02/2020 21:53:57.751","-49.68","-62.1","-49.68","4 107.32","235"
"RRL","14/02/2020 19:30:00.871","US30","0.80 Lots","0.80 Indices","Sell","29319.0","0.00","0.00","29380.6","14/02/2020 21:50:29.265","-49.28","-61.6","-49.28","4 157.00","234"
"LONDON_1B1S","18/02/2020 16:29:48.790","US30","0.60 Lots","0.60 Indices","Sell","29203.3","0.00","0.00","29264.8","18/02/2020 21:12:37.816","-36.90","-61.5","-36.90","4 073.78","238"
"LONDON_1B1S","20/02/2020 17:14:59.500","US30","0.60 Lots","0.60 Indices","Sell","29222.7","0.00","0.00","29099.3","20/02/2020 17:31:18.923","74.04","123.4","74.04","4 147.82","240"
"LONDON_1B1S","21/02/2020 15:45:03.827","US30","0.60 Lots","0.60 Indices","Sell","28975.2","0.00","0.00","29037.0","21/02/2020 17:33:19.106","-37.08","-61.8","-37.08","4 110.74","242"
"LONDON_1B1S","24/02/2020 15:35:45.447","US30","0.60 Lots","0.60 Indices","Sell","28123.2","0.00","0.00","28187.3","24/02/2020 15:37:05.670","-38.46","-64.1","-38.46","4 072.28","244"
"RRL","24/02/2020 19:10:00.583","US30","0.70 Lots","0.70 Indices","Sell","27947.3","0.00","0.00","28009.4","24/02/2020 19:29:43.556","-43.47","-62.1","-43.47","3 983.59","248"
"RRL","24/02/2020 19:15:00.533","US30","0.70 Lots","0.70 Indices","Sell","27931.8","0.00","0.00","27996.4","24/02/2020 19:27:35.689","-45.22","-64.6","-45.22","4 027.06","247"
"LONDON_1B1S","25/02/2020 16:23:28.357","US30","0.60 Lots","0.60 Indices","Sell","27913.7","0.00","0.00","27790.8","25/02/2020 16:28:07.668","73.74","122.9","73.74","4 057.33","250"
"RRL","25/02/2020 19:25:00.039","US30","0.70 Lots","0.70 Indices","Sell","27431.7","0.00","0.00","27308.8","25/02/2020 19:58:55.232","86.03","122.9","86.03","4 143.36","253"
"RRL","25/02/2020 19:30:00.168","US30","0.70 Lots","0.70 Indices","Sell","27425.7","0.00","0.00","27302.8","25/02/2020 19:59:54.670","86.03","122.9","86.03","4 229.39","254"
"RRL","27/02/2020 18:20:00.166","US30","0.60 Lots","0.60 Indices","Buy","26662.3","0.00","0.00","26599.7","27/02/2020 18:21:08.855","-37.56","-62.6","-37.56","4 191.83","256"
"RRL","27/02/2020 18:35:00.345","US30","0.60 Lots","0.60 Indices","Buy","26667.8","0.00","0.00","26604.5","27/02/2020 18:59:20.625","-37.98","-63.3","-37.98","4 153.85","258"
"LONDON_1B1S","28/02/2020 16:30:00.026","US30","0.60 Lots","0.60 Indices","Sell","24710.0","0.00","0.00","24771.6","28/02/2020 16:30:53.660","-36.96","-61.6","-36.96","4 116.89","260"
"RRL","02/03/2020 17:30:00.155","US30","0.60 Lots","0.60 Indices","Buy","25977.8","0.00","0.00","26100.7","02/03/2020 17:53:34.378","73.74","122.9","73.74","4 264.67","264"
"RRL","02/03/2020 17:35:00.126","US30","0.60 Lots","0.60 Indices","Buy","25964.3","0.00","0.00","26087.7","02/03/2020 17:52:36.048","74.04","123.4","74.04","4 190.93","263"
"RRL","03/03/2020 19:30:00.252","US30","0.60 Lots","0.60 Indices","Sell","26083.6","0.00","0.00","26149.0","03/03/2020 19:34:45.051","-39.24","-65.4","-39.24","4 225.43","266"
"RRL","03/03/2020 19:50:00.106","US30","0.60 Lots","0.60 Indices","Sell","25945.6","0.00","0.00","25819.5","03/03/2020 20:05:45.311","75.66","126.1","75.66","4 301.09","268"
"RRL","05/03/2020 17:30:00.039","US30","0.60 Lots","0.60 Indices","Buy","26589.5","0.00","0.00","26525.6","05/03/2020 17:35:08.116","-38.34","-63.9","-38.34","4 262.75","271"
"RRL","05/03/2020 17:35:00.362","US30","0.60 Lots","0.60 Indices","Buy","26545.0","0.00","0.00","26483.1","05/03/2020 17:37:33.816","-37.14","-61.9","-37.14","4 225.61","272"
"RRL","05/03/2020 19:20:00.132","US30","0.60 Lots","0.60 Indices","Sell","26080.0","0.00","0.00","26142.9","05/03/2020 19:22:32.467","-37.74","-62.9","-37.74","4 187.87","274"
